Sector,Category,SubCategory,Risk_ID,Risk_Name,Risk_Type,Likelihood,Impact,Risk_Score,Risk_Level,Mitigation_Strategy,Owner,Review_Date
Food & Beverages,Proteins,Beef,R0330,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Proteins,Beef,R0331,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Proteins,Beef,R0332,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Proteins,Beef,R0333,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Proteins,Beef,R0334,Supplier Financial Stability,FINANCIAL,2,2,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Proteins,Beef,R0335,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Proteins,Beef,R0336,ESG/Sustainability,COMPLIANCE,1,3,3,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0337,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0338,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0339,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0340,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0341,Supplier Financial Stability,FINANCIAL,1,2,2,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0342,Regulatory Compliance,COMPLIANCE,3,4,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Proteins,Poultry,R0343,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0344,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0345,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0346,Quality Issues,OPERATIONAL,1,4,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0347,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0348,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0349,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Proteins,Seafood,R0350,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0351,Supply Chain Disruption,OPERATIONAL,3,3,9,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0352,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0353,Quality Issues,OPERATIONAL,2,3,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0354,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0355,Supplier Financial Stability,FINANCIAL,2,2,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0356,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Pepper,R0357,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0358,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0359,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0360,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0361,Geopolitical Risk,STRATEGIC,4,4,16,CRITICAL,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0362,Supplier Financial Stability,FINANCIAL,1,3,3,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0363,Regulatory Compliance,COMPLIANCE,3,4,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Spices & Seasonings,Vanilla,R0364,ESG/Sustainability,COMPLIANCE,4,3,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0365,Supply Chain Disruption,OPERATIONAL,3,3,9,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0366,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0367,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0368,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0369,Supplier Financial Stability,FINANCIAL,1,4,4,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0370,Regulatory Compliance,COMPLIANCE,1,3,3,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Food & Beverages,Sweeteners,Sugar,R0371,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0372,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0373,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0374,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0375,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0376,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0377,Regulatory Compliance,COMPLIANCE,1,4,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Analytical Instruments,R0378,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0379,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0380,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0381,Quality Issues,OPERATIONAL,2,3,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0382,Geopolitical Risk,STRATEGIC,3,4,12,HIGH,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0383,Supplier Financial Stability,FINANCIAL,4,3,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0384,Regulatory Compliance,COMPLIANCE,2,4,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Laboratory Equipment,Lab Automation,R0385,ESG/Sustainability,COMPLIANCE,4,4,16,CRITICAL,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0386,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0387,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0388,Quality Issues,OPERATIONAL,1,3,3,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0389,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0390,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0391,Regulatory Compliance,COMPLIANCE,3,3,9,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Diagnostic Equipment,R0392,ESG/Sustainability,COMPLIANCE,1,2,2,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0393,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0394,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0395,Quality Issues,OPERATIONAL,4,4,16,CRITICAL,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0396,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0397,Supplier Financial Stability,FINANCIAL,4,3,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0398,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Implants,R0399,ESG/Sustainability,COMPLIANCE,1,3,3,LOW,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0400,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0401,Price Volatility,FINANCIAL,2,3,6,MEDIUM,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0402,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0403,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0404,Supplier Financial Stability,FINANCIAL,3,2,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0405,Regulatory Compliance,COMPLIANCE,4,4,16,CRITICAL,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Patient Monitoring,R0406,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0407,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0408,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0409,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0410,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0411,Supplier Financial Stability,FINANCIAL,1,2,2,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0412,Regulatory Compliance,COMPLIANCE,3,4,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Devices,Surgical Instruments,R0413,ESG/Sustainability,COMPLIANCE,4,4,16,CRITICAL,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0414,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0415,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0416,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0417,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0418,Supplier Financial Stability,FINANCIAL,3,4,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0419,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Disposable Supplies,R0420,ESG/Sustainability,COMPLIANCE,4,4,16,CRITICAL,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0421,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0422,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0423,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0424,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0425,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0426,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Lab Supplies,R0427,ESG/Sustainability,COMPLIANCE,1,4,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0428,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0429,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0430,Quality Issues,OPERATIONAL,1,2,2,LOW,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0431,Geopolitical Risk,STRATEGIC,4,4,16,CRITICAL,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0432,Supplier Financial Stability,FINANCIAL,1,3,3,LOW,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0433,Regulatory Compliance,COMPLIANCE,1,4,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Medical Supplies,Wound Care,R0434,ESG/Sustainability,COMPLIANCE,2,3,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0435,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0436,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0437,Quality Issues,OPERATIONAL,3,4,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0438,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0439,Supplier Financial Stability,FINANCIAL,3,3,9,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0440,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Biologics,R0441,ESG/Sustainability,COMPLIANCE,2,3,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0442,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0443,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0444,Quality Issues,OPERATIONAL,2,3,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0445,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0446,Supplier Financial Stability,FINANCIAL,2,4,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0447,Regulatory Compliance,COMPLIANCE,2,2,4,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Branded Drugs,R0448,ESG/Sustainability,COMPLIANCE,3,3,9,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0449,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0450,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0451,Quality Issues,OPERATIONAL,3,2,6,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0452,Geopolitical Risk,STRATEGIC,4,4,16,CRITICAL,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0453,Supplier Financial Stability,FINANCIAL,3,4,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0454,Regulatory Compliance,COMPLIANCE,3,4,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Generic Drugs,R0455,ESG/Sustainability,COMPLIANCE,4,2,8,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0456,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0457,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0458,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0459,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0460,Supplier Financial Stability,FINANCIAL,3,4,12,HIGH,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0461,Regulatory Compliance,COMPLIANCE,4,3,12,HIGH,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,OTC Medications,R0462,ESG/Sustainability,COMPLIANCE,3,2,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0463,Supply Chain Disruption,OPERATIONAL,2,3,6,MEDIUM,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0464,Price Volatility,FINANCIAL,4,3,12,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0465,Quality Issues,OPERATIONAL,2,4,8,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0466,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0467,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0468,Regulatory Compliance,COMPLIANCE,4,2,8,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Healthcare & Life Sciences,Pharmaceuticals,Vaccines,R0469,ESG/Sustainability,COMPLIANCE,3,4,12,HIGH,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0470,Supply Chain Disruption,OPERATIONAL,3,3,9,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0471,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0472,Quality Issues,OPERATIONAL,4,3,12,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0473,Geopolitical Risk,STRATEGIC,2,3,6,MEDIUM,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0474,Supplier Financial Stability,FINANCIAL,2,3,6,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0475,Regulatory Compliance,COMPLIANCE,1,2,2,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Human Resources,HR Technology,Benefits Administration,R0476,ESG/Sustainability,COMPLIANCE,3,2,6,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0477,Supply Chain Disruption,OPERATIONAL,3,4,12,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0478,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0479,Quality Issues,OPERATIONAL,1,4,4,MEDIUM,Implement controls for quality issues,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0480,Geopolitical Risk,STRATEGIC,1,3,3,LOW,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0481,Supplier Financial Stability,FINANCIAL,4,2,8,MEDIUM,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0482,Regulatory Compliance,COMPLIANCE,2,3,6,MEDIUM,Implement controls for regulatory compliance,Procurement Team,2026-04-03
Human Resources,HR Technology,HRIS Systems,R0483,ESG/Sustainability,COMPLIANCE,2,2,4,MEDIUM,Implement controls for esg/sustainability,Procurement Team,2026-04-03
Human Resources,HR Technology,Payroll Services,R0484,Supply Chain Disruption,OPERATIONAL,3,3,9,HIGH,Implement controls for supply chain disruption,Procurement Team,2026-04-03
Human Resources,HR Technology,Payroll Services,R0485,Price Volatility,FINANCIAL,3,3,9,HIGH,Implement controls for price volatility,Procurement Team,2026-04-03
Human Resources,HR Technology,Payroll Services,R0486,Quality Issues,OPERATIONAL,3,3,9,HIGH,Implement controls for quality issues,Procurement Team,2026-04-03
Human Resources,HR Technology,Payroll Services,R0487,Geopolitical Risk,STRATEGIC,4,4,16,CRITICAL,Implement controls for geopolitical risk,Procurement Team,2026-04-03
Human Resources,HR Technology,Payroll Services,R0488,Supplier Financial Stability,FINANCIAL,4,4,16,CRITICAL,Implement controls for supplier financial stability,Procurement Team,2026-04-03
Human Resources,HR Technology,Payroll Services,R0489,Regulatory Compliance,COMPLIANCE,1,3,3,LOW,Implement controls for regulatory compliance,Procurement Team,2026-04-03
